filename, language, Python, Markdown, comment, blank, total
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\README.md, Markdown, 0, 2, 0, 1, 3
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\animate_example.py, Python, 38, 0, 3, 15, 56
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\cartesian.py, Python, 32, 0, 0, 12, 44
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\community.py, Python, 24, 0, 7, 8, 39
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\coordinate.py, Python, 11, 0, 3, 7, 21
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\grid.py, Python, 36, 0, 3, 13, 52
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\host.py, Python, 17, 0, 0, 5, 22
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\mole.py, Python, 33, 0, 3, 12, 48
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\outbreak.py, Python, 103, 0, 11, 27, 141
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\person.py, Python, 49, 0, 1, 12, 62
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\population.py, Python, 27, 0, 5, 16, 48
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\pursuit.py, Python, 91, 0, 24, 35, 150
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\scenario.py, Python, 14, 0, 3, 7, 24
c:\Users\JRainbow\Documents\Python Scripts\SpatialSimulationModel\tile.py, Python, 8, 0, 0, 4, 12
Total, -, 483, 2, 63, 174, 722